Occupation,year,wage,type,total_hours,wage_adj
"cargo workers sugar, molasses, and refrigerated cargoes",1928,0.95,hour,44,0.95
"cargo workers sugar, molasses, and refrigerated cargoes",1929,0.95,hour,44,0.95
"cargo workers sugar, molasses, and refrigerated cargoes",1930,0.95,hour,44,0.95
"cargo workers sugar, molasses, and refrigerated cargoes",1931,0.95,hour,44,0.95
"cargo workers sugar, molasses, and refrigerated cargoes",1932,,,,
"cargo workers sugar, molasses, and refrigerated cargoes",1933,,,,
cargo workers grain,1928,1.05,hour,44,1.05
cargo workers grain,1929,1.05,hour,44,1.05
cargo workers grain,1930,1.05,hour,44,1.05
cargo workers grain,1931,1.05,hour,44,1.05
cargo workers grain,1932,1.05,hour,44,1.05
cargo workers grain,1933,0.95,hour,44,0.95
cargo refrigerated cargoes,1928,,,,
cargo refrigerated cargoes,1929,,,,
cargo refrigerated cargoes,1930,,,,
cargo refrigerated cargoes,1931,,,,
cargo refrigerated cargoes,1932,1.05,hour,44,1.05
cargo refrigerated cargoes,1933,0.95,hour,44,0.95
cargo workers cement in bags,1928,,,,
cargo workers cement in bags,1929,,,,
cargo workers cement in bags,1930,,,,
cargo workers cement in bags,1931,,,,
cargo workers cement in bags,1932,0.90,hour,44,0.90
cargo workers cement in bags,1933,0.80,hour,44,0.80
cargo workers coal,1928,,,,
cargo workers coal,1929,,,,
cargo workers coal,1930,,,,
cargo workers coal,1931,,,,
cargo workers coal,1932,0.90,hour,44,0.90
cargo workers coal,1933,0.80,hour,44,0.80
cargo workers wet hides,1928,1.00,hour,44,1.00
cargo workers wet hides,1929,1.00,hour,44,1.00
cargo workers wet hides,1930,1.00,hour,44,1.00
cargo workers wet hides,1931,1.00,hour,44,1.00
cargo workers wet hides,1932,1.00,hour,44,1.00
cargo workers wet hides,1933,0.90,hour,44,0.90
cargo workers sugar molasses,1928,,,,
cargo workers sugar molasses,1929,,,,
cargo workers sugar molasses,1930,,,,
cargo workers sugar molasses,1931,,,,
cargo workers sugar molasses,1932,0.85,hour,44,0.85
cargo workers sugar molasses,1933,0.80,hour,44,0.80
cargo workers coffee,1928,0.90,hour,44,0.90
cargo workers coffee,1929,0.90,hour,44,0.90
cargo workers coffee,1930,0.90,hour,44,0.90
cargo workers coffee,1931,0.90,hour,44,0.90
cargo workers coffee,1932,0.85,hour,44,0.85
cargo workers coffee,1933,0.75,hour,44,0.75
cargo workers bulk cargo,1928,0.90,hour,44,0.90
cargo workers bulk cargo,1929,0.90,hour,44,0.90
cargo workers bulk cargo,1930,0.90,hour,44,0.90
cargo workers bulk cargo,1931,0.90,hour,44,0.90
cargo workers bulk cargo,1932,0.90,hour,44,0.90
cargo workers bulk cargo,1933,0.80,hour,44,0.80
cargo workers general cargo,1928,0.85,hour,44,0.85
cargo workers general cargo,1929,0.85,hour,44,0.85
cargo workers general cargo,1930,0.85,hour,44,0.85
cargo workers general cargo,1931,0.85,hour,44,0.85
cargo workers general cargo,1932,0.85,hour,44,0.85
cargo workers general cargo,1933,0.75,hour,44,0.75
horse cattle and grain fitters,1928,0.90,hour,44,0.90
horse cattle and grain fitters,1929,1.00,hour,44,1.00
horse cattle and grain fitters,1930,1.00,hour,44,1.00
horse cattle and grain fitters,1931,1.00,hour,44,1.00
